species;family;male;female;tot_adult;subadult_male;subadult_female;tot_subadult;juvenil;individuals_immatur;tot_individuals;month;year;date;trapnum;succession;ycoor;xcoor;latitude;longitude;height;tot_plants;mean_t;mean_k;mean_l;mean_f;mean_r;mean_n;mean_w;mean_h;mean_d
Robertusneglectus;Theridiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Centromerussylvaticus;Linyphiidae;5;0;5;0;0;0;0;0;5;Dez;2018;01.-31.12.2018;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Inermocoelotesinermis;Agelenidae;2;0;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Centromerussylvaticus;Linyphiidae;3;1;4;0;0;0;0;0;4;Dez;2018;01.-31.12.2018;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Robertusneglectus;Theridiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Centromerussylvaticus;Linyphiidae;5;3;8;0;0;0;0;0;8;Dez;2018;01.-31.12.2018;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Lycosidae;0;0;0;0;0;0;2;2;2;Dez;2018;01.-31.12.2018;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Centromerussylvaticus;Linyphiidae;3;0;3;0;0;0;0;0;3;Dez;2018;01.-31.12.2018;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
NA;Anyphaenidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Centromerussylvaticus;Linyphiidae;5;2;7;0;0;0;0;0;7;Dez;2018;01.-31.12.2018;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
NA;Agelenidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Centromerussylvaticus;Linyphiidae;3;1;4;0;0;0;0;0;4;Dez;2018;01.-31.12.2018;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Inermocoelotesinermis;Agelenidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Agelenidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Centromerussylvaticus;Linyphiidae;3;0;3;0;0;0;0;0;3;Dez;2018;01.-31.12.2018;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Trochosaterricola;Lycosidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Clubionidae;0;0;0;1;0;1;0;1;1;Dez;2018;01.-31.12.2018;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Lycosidae;0;0;0;0;0;0;2;2;2;Dez;2018;01.-31.12.2018;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Cicurinacicur;Hahniidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Lycosidae;0;0;0;0;0;0;3;3;3;Dez;2018;01.-31.12.2018;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Lycosidae;0;0;0;3;2;5;0;5;5;Dez;2018;01.-31.12.2018;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Pachygnathaclercki;Tetragnathidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Oedothoraxretusus;Linyphiidae;2;6;8;0;0;0;0;0;8;Dez;2018;01.-31.12.2018;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
NA;Linyphiidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Centromerussylvaticus;Linyphiidae;1;1;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
NA;Linyphiidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
